n_total,replication,n_fit,data_sha256,quadrature_max_abs_error,sigma1_min_eigenvalue,sigma2_min_eigenvalue,sigma1_condition,sigma2_condition,mean_f0,mean_phi1,mean_phi2,Sigma1_11,Sigma1_12,Sigma1_22,Sigma2_11,Sigma2_12,Sigma2_22,V_oracle_11,V_oracle_12,V_oracle_22,oracle_se_1,oracle_se_2
1000,49,800,22455aadf8209f1259989da07750ceec0d410b984e14fc234629ee94d7bc67b6,6.233041168190559e-10,0.04105645447938676,0.09842704291525144,1.2738010625520566,1.3137314479106827,0.6823839525087487,0.45424144499338737,0.9431517999865814,0.04381615873152945,0.004838046943409394,0.049538051088320316,0.10390091381259962,0.011792709714395475,0.12383283070527198,4.103261257962681,-0.3812897565217726,3.2658908931110338,0.07161757167381028,0.06389337693680615
1000,50,800,5eca126bc743ba9a084e2c07ba869898ead2a612b914ee86c819448f45ac83f2,6.560995929968815e-10,0.038622218225689245,0.09242667370194833,1.3064939118966201,1.3210245392589337,0.6742814462317375,0.4706345619970179,0.9657939697413402,0.04231927916214671,0.005485946218937744,0.046762632039348224,0.09986829305820807,0.012861737961167227,0.11465628468609232,4.30209899569371,-0.4613026115671747,3.6065173817580702,0.07333228309971766,0.06714273398661681
1000,51,800,916c618252a7199a5ed6ac94cf30ecd77721ee68c2f5064189bad26c22dbc45a,6.307409619247197e-10,0.04106393249652438,0.09726656972501158,1.2953041730490813,1.3785742694340168,0.6765422405436661,0.46637694863945683,0.9609734880495217,0.044474614200389145,0.005452189701082597,0.049779601420689046,0.10546920590569422,0.015321857572604904,0.12588655411832803,4.088448476559091,-0.544119030016222,3.213065368135715,0.07148818500772602,0.0633745351870106
1000,52,800,be8adfcd11ec922581a944a915f028901fbb0f114e17847121100e75ce746334,6.11269590488588e-10,0.041479534643859055,0.10010429944317663,1.24645953153713,1.2446042379487265,0.6610917020495016,0.46992728776753323,0.9695727559637137,0.044780638783612055,0.004780166016131388,0.04840145718080972,0.1057077298583414,0.010286243504799772,0.11898680490870123,4.0335137246277055,-0.30091048333581505,3.4405814117024005,0.07100628250925851,0.06557992653722632
1000,53,800,2b28048930fc7124a7e1a1701d7605cc2132db8cca653ff5042adeac0fe0044b,2.5605740880670546e-11,0.04088997515251902,0.09713308993402568,1.2679480530898648,1.3106066908944445,0.6578969210563338,0.47545800740601235,0.9759818388092105,0.04367527969466382,0.004770635104859503,0.04906105984338467,0.10225453266806761,0.011326328292936864,0.12218183484074396,4.218986052831288,-0.3730968901109636,3.3193415256801955,0.07262046933226961,0.06441410487696188
1000,54,800,a3633d43b3f4fed6b9f7e508de8c1a0f560393e44cdfd34fc7255b38f92a7983,6.132455647136967e-10,0.04071246050509263,0.09944871875695821,1.324660480952796,1.339376390898875,0.66423752041548,0.46775516668176736,0.9645199724404435,0.044813669471020445,0.00611463372031763,0.049828978547519914,0.1079695575575965,0.014662137589546622,0.12467842720757365,3.9036485994626537,-0.4398350943827634,3.2549890783307984,0.06985385278800531,0.06378664709728438
1000,55,800,860fdb67286982ee5c38a89ad2e9028fe660a12ed1b45c311ff19acc9424de0b,6.239232032241839e-10,0.043537693362556265,0.1023530866910728,1.1668910729613036,1.2323714741418368,0.6673382366984759,0.47052388433337106,0.9673268718538103,0.044239296137875334,0.0021460745669080513,0.050102142946774425,0.10362488017087661,0.005350775472396322,0.12486523084864082,4.1295320939461915,-0.17703185671934335,3.2210519270055897,0.07184646906725994,0.06345324978877746
1000,56,800,a802a14e3e4a81c20458778afdb22f319a1ba02598a06cccc50faa161c0c0895,6.252203426681273e-10,0.042233344533200136,0.09984272519644107,1.1329395229924,1.1709462751351358,0.6703676257195014,0.47224957325286904,0.9687964782964407,0.0428948632527046,0.0018101041549103195,0.047186306490312975,0.10067287545129693,0.0036714630465198433,0.1160803169132578,4.235463135347019,-0.10674748597128214,3.50437579963922,0.0727621393252272,0.06618511728137244
1000,57,800,6712b0ac9e5beddc6261e0281b8f962d578dd7dcb2f580a745bb16bd89e473ce,6.356456867087444e-10,0.04359626959728651,0.10244878357711076,1.0135511077607697,1.0662741350153282,0.6756062746295737,0.47381712736488235,0.9706544621247167,0.043956733055278106,0.0002881317149185712,0.0438265838865753,0.10301778206649465,0.0018813751171538884,0.10866948960267248,4.144831727277749,-0.1138117282651355,3.7139668753969204,0.07197943914130747,0.06813558977690111
1000,58,800,d63bf20c2a76179af076255f896e53f606febe24db07db4c76da94c179dc742c,6.111454734982079e-10,0.03890445085735865,0.09365414504754395,1.3190016802595474,1.3374058513349598,0.6683840705967421,0.4650825987617405,0.9600927322743058,0.04395359598215462,0.006096636714797407,0.04626589092563508,0.10415024427061213,0.014882974579932809,0.1147575023652902,4.129645210122905,-0.5273598846508363,3.580494721034559,0.07184745307005413,0.06690006278990476
1000,59,800,0eca35eed540f8e6d7f459fa56c0feda9cd814aa63218cf4cae8acdc27b13fee,5.89608232781132e-10,0.04130262422997741,0.10073694030075173,1.1567583636882257,1.1511027297827405,0.656332846214442,0.47532241299304656,0.9744371979131238,0.04344388505491154,0.003046089847986636,0.04563589519536421,0.10334067259258449,0.005731807659527542,0.11335483467832357,4.072942555230589,-0.14272821193258056,3.555640183959897,0.07135249255659003,0.0666674600532364
1000,60,800,5eda3af861307eb41420055daab82b6891f6ba0bd6d3154e9bb282e236aaa137,6.463490578627707e-10,0.0413045951389088,0.09609057984574268,1.189935842175825,1.2399864208868003,0.6616124921272624,0.47981329322837696,0.9797315497653654,0.04246055722675407,0.002780743081172829,0.047993856114503665,0.0989058456543145,0.007549538446157016,0.11633574837528801,4.367447924997267,-0.3125766237449905,3.568344080863195,0.07388714303751759,0.06678645147841734
1000,61,800,8dc0c0b0c7711d25ef46f5babfe54a5b18af85449656a8549b4bd8aed74a8b4a,6.228819023823542e-10,0.04128506909260693,0.09824673079788106,1.2505259702768445,1.273188844917082,0.6647564237236071,0.47418432605288074,0.9729224605099063,0.04412163455077198,0.004614373397930676,0.04879148562681381,0.10330478504823137,0.010496371402787313,0.12002858745108337,4.167452256546336,-0.3361537576583349,3.413606561071647,0.07217558673597964,0.06532234075214664
1000,62,800,a411c7d15d6db6bfcab8135d174e1f77f0c92f453b8e1c3995c49d802e7042ac,6.212699214128054e-10,0.04048755661301523,0.09555307003755631,1.2394488040301854,1.2970577979521873,0.661149051871177,0.4697810318609575,0.9681163284186179,0.04236847657551353,0.003833678289769116,0.048301333659607835,0.09946672950983514,0.009786299124156921,0.1200241951382051,4.320711937677379,-0.36112812667539423,3.383072356511309,0.07349074718695357,0.06502953517932553
1000,63,800,0a0f71b2b463288e28dfb849a26597c9d7757c906857b2c1006155a326ff17f0,5.994080271818025e-10,0.0415498908035589,0.10048273906070446,1.2578791412170296,1.235083352843018,0.6579249179192308,0.4734159495725762,0.9722542184868928,0.04721781632200783,0.005348419668899529,0.04659681544319309,0.11057077487419445,0.011684574939108542,0.11401652244845502,3.896416020054919,-0.3533523323624257,3.6159367715425734,0.06978911107808043,0.0672303574617019
1000,64,800,82cf148edaac6193edd05383c7e8ca852d7bd287d1e739e5e899dd12c1a934c6,6.189845780641039e-10,0.044221490415753274,0.10443702152241688,1.0806648868164186,1.0970390349846226,0.6659317468008138,0.47002466925005676,0.9645887349611526,0.044725234726576586,0.0012422394457775568,0.04728486762417004,0.10534864567401703,0.002899614974927624,0.11365986515602033,4.032627252004225,-0.09987413066519893,3.6626973220974732,0.07099847931473802,0.06766366567532268
1000,65,800,985e294793c9020c17bb6e5721850a7a976a4227dddaefc40f62d7e3b8ebfc03,6.10795301790402e-10,0.04010715557050387,0.0969107947255833,1.290443418275739,1.2775428142973333,0.6736465382008984,0.47338077570113873,0.9687281033899017,0.04445474211954581,0.0056340851492575825,0.047408428382675935,0.10589470839833562,0.01268576663847108,0.1148237757567605,4.010366885408686,-0.4100296477009885,3.637420324662146,0.07080225001199368,0.0674297812974926
1000,66,800,07c01c13054bddb2dda8cd4ef9c7474256ba16f4151a16173bcd34e52959169f,6.126312848267278e-10,0.04085308329385996,0.09399738817623038,1.0833954911069985,1.1601207749110065,0.6796410201477054,0.46568877829290933,0.9588878293385106,0.04154485055687397,0.0013705048285750005,0.04356827897537253,0.0947192861390114,0.003216224864938415,0.10832642484783811,4.635184088758737,-0.13011134725521922,3.716440362683213,0.07611819829021454,0.06815827501744756
1000,67,800,adc9cf41c630dc8ed443b9ca9abe1dc804267e40c64496fb279b09480187bc26,6.151007522770879e-10,0.0435298053759038,0.10601809262056593,1.1231540087207994,1.1112965616779849,0.667622970821605,0.4729928302515557,0.9703284106451219,0.04470736512806546,0.002219481429303122,0.047713115654620886,0.10738683460510902,0.003778484732378892,0.11644879982034995,3.877547125144592,-0.0720731203529729,3.519177274743573,0.06961992463677866,0.06632474344789784
1000,68,800,848b7e545d20d74d5e5e1d7ec2c75cabf445d9eda8ec51a8891dffd561ec7af5,6.112587885080326e-10,0.044634418026542326,0.10446215437398146,1.1362604065073005,1.2008051590813373,0.6714724475705631,0.46493330198000676,0.9590292802179134,0.045468735433354016,0.0020924035920814174,0.04988200456424408,0.10647789186200585,0.006182232563812723,0.12342295641300365,4.026393964804061,-0.2326786500639319,3.2877603563382753,0.07094358643320112,0.0641069453758549
1000,69,800,1362561b43fc353d20056829e2274217641e1dbfd17b89e7553c55292c16f39b,6.109442051980058e-10,0.04335547719191287,0.10518570484524106,1.2134295388493352,1.2295876334579348,0.6783356426370468,0.4505738362950284,0.9397693854058466,0.04692557222692002,0.004504411488782914,0.049038721660568545,0.11074147907584346,0.010163741297458926,0.12377926766366235,3.8508515767112543,-0.2810824090523727,3.2208844442528517,0.0693798563769706,0.06345160010051806
1000,70,800,999faa2dee9ff57ccc63e14cad475839be03b46f45735eafb70ac6d0878faad7,6.135911198463639e-10,0.04186159317433185,0.1003529085508363,1.2509892303792998,1.22758376110273,0.6521499696395965,0.479275516344647,0.9799769199031201,0.04638194920876273,0.0052020091338421896,0.047848046193177875,0.1078221525647498,0.01071439032787072,0.11572235690252045,4.01560793341833,-0.3093550850338347,3.5958337615629232,0.0708484997496271,0.06704321145316396
