n,replication,seed,experiment,theta1_hat,theta2_hat,theta1_error,theta2_error,sqrt_n_theta1_error,sqrt_n_theta2_error,oracle_se1,oracle_se2,T1,T2,coverage1,coverage2,empirical_check_loss,Cn1,Cn2,lhs1,lhs2,minus_Sn1,minus_Sn2,IF_gap1,IF_gap2,IF_gap_norm
1000,36,1020300245,experiment0_exact_m0,0.8544134634071928,-0.9291497408238584,-0.1455865365928071,0.0708502591761417,-4.603850522887204,2.240481918098528,0.1038908755782851,0.0963663981671087,-1.4013409337675955,0.7352174671225179,1.0,1.0,0.5405515907123459,0.0,0.0,-0.2768523159837955,0.1316596486291972,-0.3483193960607766,0.1700985449780914,0.071467080076981,-0.0384388963488942,0.0811485815479892
1000,37,1020301254,experiment0_exact_m0,0.9464581928127124,-0.981163013217456,-0.0535418071872877,0.0188369867825438,-1.6931406075340278,0.5956778248732549,0.1017557843739247,0.0995759864738805,-0.5261794945291387,0.189171982619373,1.0,1.0,0.5580313170417479,0.0,0.0,-0.1095413773010469,0.0354328170676145,-0.0784931810419931,0.3800604470271655,-0.0310481962590537,-0.344627629959551,0.3460234006862512
1000,38,1020302263,experiment0_exact_m0,0.9010444299205635,-0.9297708284372777,-0.0989555700794363,0.0702291715627224,-3.1292498861142803,2.2208414032492967,0.1028273184019606,0.0996543084339037,-0.9623470845812654,0.7047279005433301,1.0,1.0,0.573079675752226,0.0,0.0,-0.1884586546718571,0.1326870443726573,-0.3155272969343561,0.023452110188916,0.1270686422624989,0.1092349341837413,0.1675670334300909
1000,39,1020303272,experiment0_exact_m0,1.171802269804375,-1.0137184880898713,0.171802269804375,-0.0137184880898713,5.432864797685958,-0.4338166841788601,0.0991224684536085,0.0982774673613875,1.733232358764171,-0.1395893530652907,1.0,1.0,0.5782793964701064,0.0,0.0,0.3760156219431357,-0.0294330397784576,0.190939850691273,-0.0678282439578674,0.1850757712518626,0.0383952041794098,0.1890164881920367
1000,40,1020304281,experiment0_exact_m0,0.8683836249337957,-0.9579529033577476,-0.1316163750662042,0.0420470966422524,-4.162075225842003,1.329645943867359,0.103675784418941,0.0971184691304399,-1.2694996792535345,0.4329464520881089,1.0,1.0,0.5423410796367707,0.0,0.0,-0.2618716417804966,0.090950182353829,-0.2461006476721922,0.0997206861332825,-0.0157709941083044,-0.0087705037794534,0.0180456640695093
1000,41,1020305290,experiment0_exact_m0,0.9926919603963628,-0.9602495664699904,-0.0073080396036371,0.0397504335300095,-0.2311005037820747,1.2570190793395717,0.1045464949030672,0.0969129977151244,-0.0699022918980971,0.410166174478018,1.0,1.0,0.5959357068395416,0.0,0.0,-0.0077627210721969,0.0903712633591102,-0.01468762493859,-0.0213714326578654,0.0069249038663931,0.1117426960169757,0.1119570650146788
1000,42,1020306299,experiment0_exact_m0,1.0445146260299276,-1.0352320763759677,0.0445146260299276,-0.0352320763759674,1.4076760744518997,-1.1141360804506808,0.1037285949273403,0.1022090182485022,0.4291451750706654,-0.3447061421753141,1.0,1.0,0.5476366959272271,0.0,0.0,0.0852622139361682,-0.0677096706140227,0.0669051503854448,-0.112537514502092,0.0183570635507233,0.0448278438880693,0.0484408646687733
1000,43,1020307308,experiment0_exact_m0,1.0071083852015184,-0.9396703734077057,0.0071083852015183,0.0603296265922943,0.2247868772263299,1.9077903041911264,0.1043724055966073,0.1006592473453027,0.0681059822362608,0.5993450992668249,1.0,1.0,0.5669193062800684,0.0,0.0,0.0143356812234263,0.1281050798272547,0.1138901977796921,0.2148315836142174,-0.0995545165562657,-0.0867265037869627,0.1320325271509329
1000,44,1020308317,experiment0_exact_m0,0.9745984222611354,-0.97422732494058,-0.0254015777388646,0.02577267505942,-0.8032684181664208,0.8150035458318278,0.105710222984656,0.1003467171698273,-0.2402944296366843,0.2568362551990836,1.0,1.0,0.5401753924646211,0.0,0.0,-0.0443171667640378,0.050604910549163,0.1093291333181133,0.3348451320769626,-0.1536463000821511,-0.2842402215277996,0.3231094072649495
1000,45,1020309326,experiment0_exact_m0,0.934160977635456,-0.9520231374997288,-0.0658390223645439,0.0479768625002712,-2.0820126959072374,1.5171616048957774,0.1015736058875866,0.0994971153344215,-0.6481902634962985,0.4821935021836092,1.0,1.0,0.5080446058325783,0.0,0.0,-0.1269133896314604,0.0888351527969298,-0.2105952106328144,-0.081376256791437,0.083681821001354,0.1702114095883668,0.1896696367902924
1000,46,1020310335,experiment0_exact_m0,0.8552400067275138,-0.9711185249852112,-0.1447599932724862,0.0288814750147888,-4.577712928117081,0.9133124323197808,0.1004471156427012,0.0978330992066595,-1.441156297483042,0.2952116947024295,1.0,1.0,0.544398554148169,0.0,0.0,-0.3053443753160823,0.0300834882431019,-0.3079785012054705,0.0735957748997351,0.0026341258893882,-0.0435122866566332,0.0435919454634703
1000,47,1020311344,experiment0_exact_m0,0.9559926367040196,-1.009465581092276,-0.0440073632959805,-0.0094655810922761,-1.3916350183379316,-0.2993279562861702,0.1031762903079463,0.0978839177002338,-0.4265259311478773,-0.0967021070944886,1.0,1.0,0.577455621224718,0.0,0.0,-0.0921491351617651,-0.0316905939229103,-0.1150179462657213,-0.1788929737079867,0.0228688111039562,0.1472023797850764,0.1489681950474607
