case,tau,n_total,n_fit,n_val,replication,seed,data_seed,fit_seed,data_sha256,initialization_sha256,epoch,optimizer_updates,theta_hat_1,theta_hat_2,theta0_1,theta0_2,error_theta1,error_theta2,squared_error_theta1,squared_error_theta2,train_check_loss,validation_check_loss,train_check_loss_clipped,validation_check_loss_clipped,elapsed_time
6,0.5,1000,800,200,16,81260920,81260920,81760920,32d1a2b53dfe6b1794a1c7894278117bdcc1b037db48160e0a8d398fb2703075,2fe39be28dd40fc517dd9868a1524e200150ec969163cd86f1d94c30e9e787af,1000,7000,1.0272486209869385,-0.8077144026756287,1.0,-1.0,0.027248620986938477,0.19228559732437134,0.000742487345689824,0.03697375093839028,0.139396932721138,0.5561026549339294,0.3057898110151291,0.5429082822799682,23.290627300004417
6,0.5,1000,800,200,16,81260920,81260920,81760920,32d1a2b53dfe6b1794a1c7894278117bdcc1b037db48160e0a8d398fb2703075,2fe39be28dd40fc517dd9868a1524e200150ec969163cd86f1d94c30e9e787af,2000,14000,0.9849048256874084,-0.7954850792884827,1.0,-1.0,-0.015095174312591553,0.20451492071151733,0.00022786428752752386,0.04182635279363822,0.10825950056314468,0.5584160113334655,0.3325314450263977,0.5567837405204773,46.60538410000299
6,0.5,1000,800,200,17,81260921,81260921,81760921,8ffe7c59440af92b9c2b3972fc5701e0aae35766c321cc7b039560dcfc7e685b,e138c225603f007ec05bb99cdb6b0975f29e87f159d3164e9b7f9789a639cc96,200,1400,1.032187819480896,-0.9043776392936707,1.0,-1.0,0.032187819480895996,0.09562236070632935,0.0010360557229347478,0.009143635867051358,0.26242117196321485,0.4254768168926239,0.2705836856365204,0.429411985874176,4.774492900003679
6,0.5,1000,800,200,17,81260921,81260921,81760921,8ffe7c59440af92b9c2b3972fc5701e0aae35766c321cc7b039560dcfc7e685b,e138c225603f007ec05bb99cdb6b0975f29e87f159d3164e9b7f9789a639cc96,500,3500,1.0247987508773804,-0.8459154963493347,1.0,-1.0,0.02479875087738037,0.15408450365066528,0.0006149780450783737,0.023742034265271883,0.17593601524829863,0.46952786922454837,0.25038633942604066,0.49949100613594055,11.73584750000009
6,0.5,1000,800,200,17,81260921,81260921,81760921,8ffe7c59440af92b9c2b3972fc5701e0aae35766c321cc7b039560dcfc7e685b,e138c225603f007ec05bb99cdb6b0975f29e87f159d3164e9b7f9789a639cc96,1000,7000,1.1192958354949951,-0.9194815754890442,1.0,-1.0,0.11929583549499512,0.08051842451095581,0.014231496366448937,0.0064832166857264895,0.14016504228115081,0.5303451681137085,0.3420845127105713,0.6128245162963867,23.448993199999677
6,0.5,1000,800,200,17,81260921,81260921,81760921,8ffe7c59440af92b9c2b3972fc5701e0aae35766c321cc7b039560dcfc7e685b,e138c225603f007ec05bb99cdb6b0975f29e87f159d3164e9b7f9789a639cc96,2000,14000,1.1384077072143555,-0.9095183610916138,1.0,-1.0,0.13840770721435547,0.09048163890838623,0.019156693416334747,0.008186926979547593,0.11990340352058411,0.5627707147598267,0.41622807025909425,0.6667124032974243,47.00357480000093
6,0.5,1000,800,200,18,81260922,81260922,81760922,4fccae52b1569b5b3ad53f85ceb93a4e664efa3bb5c3ffaade7e7fce0f747480,415287266d0b73a9a034f574ed40d68fb99673c022fd36042be5a2d9f121fafa,200,1400,0.8064729571342468,-0.8899337649345398,1.0,-1.0,-0.19352704286575317,0.1100662350654602,0.037452716320363066,0.012114576101485142,0.24476110696792602,0.38850210309028627,0.24886279106140136,0.38507835745811464,4.435233300006075
6,0.5,1000,800,200,18,81260922,81260922,81760922,4fccae52b1569b5b3ad53f85ceb93a4e664efa3bb5c3ffaade7e7fce0f747480,415287266d0b73a9a034f574ed40d68fb99673c022fd36042be5a2d9f121fafa,500,3500,0.7731491327285767,-0.9596021771430969,1.0,-1.0,-0.22685086727142334,0.040397822856903076,0.05146131598179693,0.0016319840915777206,0.15301956951618195,0.4272513103485107,0.22184655785560609,0.43733846306800844,11.636643700003333
6,0.5,1000,800,200,18,81260922,81260922,81760922,4fccae52b1569b5b3ad53f85ceb93a4e664efa3bb5c3ffaade7e7fce0f747480,415287266d0b73a9a034f574ed40d68fb99673c022fd36042be5a2d9f121fafa,1000,7000,0.762114942073822,-0.9667864441871643,1.0,-1.0,-0.23788505792617798,0.03321355581283569,0.05658930078454105,0.0011031402897323517,0.13715874493122102,0.4490005147457123,0.24345916152000427,0.46827070832252504,23.213020400005917
6,0.5,1000,800,200,18,81260922,81260922,81760922,4fccae52b1569b5b3ad53f85ceb93a4e664efa3bb5c3ffaade7e7fce0f747480,415287266d0b73a9a034f574ed40d68fb99673c022fd36042be5a2d9f121fafa,2000,14000,0.745137631893158,-0.938870906829834,1.0,-1.0,-0.25486236810684204,0.061129093170166016,0.06495482667702746,0.0037367660318068374,0.07294462829828262,0.49271377801895144,0.35430323719978335,0.5766052556037903,48.022222200001124
